address,location,filepath,vulnerability,severity,column,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x53E4DD4072A9a8ed56289e048f5BD5AA51c9Bf6E.sol,541,/bdata2/sc/dataset/mainnet/0x53E4DD4072A9a8ed56289e048f5BD5AA51c9Bf6E.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.16,SWC-115
/bdata2/sc/dataset/mainnet/0x82ff5842776Ea577fd5247d3E97c88f7a0386620.sol,541,/bdata2/sc/dataset/mainnet/0x82ff5842776Ea577fd5247d3E97c88f7a0386620.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.16,SWC-115
/bdata2/sc/dataset/mainnet/0x9ba868A7843A1E094f32C39c164e143f3E9cC460.sol,685,/bdata2/sc/dataset/mainnet/0x9ba868A7843A1E094f32C39c164e143f3E9cC460.sol,SOLIDITY_TX_ORIGIN,2,37,0.6.12,SWC-115
/bdata2/sc/dataset/mainnet/0x9ba868A7843A1E094f32C39c164e143f3E9cC460.sol,704,/bdata2/sc/dataset/mainnet/0x9ba868A7843A1E094f32C39c164e143f3E9cC460.sol,SOLIDITY_TX_ORIGIN,2,30,0.6.12,SWC-115
/bdata2/sc/dataset/mainnet/0x96632B7b90120A3FBF18844a6c21f49c1cCc9977.sol,680,/bdata2/sc/dataset/mainnet/0x96632B7b90120A3FBF18844a6c21f49c1cCc9977.sol,SOLIDITY_TX_ORIGIN,2,37,0.6.12,SWC-115
/bdata2/sc/dataset/mainnet/0x96632B7b90120A3FBF18844a6c21f49c1cCc9977.sol,699,/bdata2/sc/dataset/mainnet/0x96632B7b90120A3FBF18844a6c21f49c1cCc9977.sol,SOLIDITY_TX_ORIGIN,2,30,0.6.12,SWC-115
/bdata2/sc/dataset/mainnet/0x883CaEfB8FCa6A223a37919b2A10Cd8F1dA95f09.sol,471,/bdata2/sc/dataset/mainnet/0x883CaEfB8FCa6A223a37919b2A10Cd8F1dA95f09.sol,SOLIDITY_TX_ORIGIN,2,37,0.6.12,SWC-115
/bdata2/sc/dataset/mainnet/0x883CaEfB8FCa6A223a37919b2A10Cd8F1dA95f09.sol,490,/bdata2/sc/dataset/mainnet/0x883CaEfB8FCa6A223a37919b2A10Cd8F1dA95f09.sol,SOLIDITY_TX_ORIGIN,2,30,0.6.12,SWC-115
/bdata2/sc/dataset/mainnet/0xA7971B65D86020366E4b9A28e4089Bc5b12481Af.sol,200,/bdata2/sc/dataset/mainnet/0xA7971B65D86020366E4b9A28e4089Bc5b12481Af.sol,SOLIDITY_TX_ORIGIN,2,21,0.5.17,SWC-115
/bdata2/sc/dataset/mainnet/0xF4eaD5142749316c8Ca141959B510862fbba1807.sol,864,/bdata2/sc/dataset/mainnet/0xF4eaD5142749316c8Ca141959B510862fbba1807.sol,SOLIDITY_TX_ORIGIN,2,47,0.5.16,SWC-115
/bdata2/sc/dataset/mainnet/0x2287d8421eeAAAAE4eFABCcd6b0f9786D21f444c.sol,1026,/bdata2/sc/dataset/mainnet/0x2287d8421eeAAAAE4eFABCcd6b0f9786D21f444c.sol,SOLIDITY_TX_ORIGIN,2,10,0.8.15,SWC-115
/bdata2/sc/dataset/mainnet/0x45a128873401E2630F98B8D7523872382cF75Bc7.sol,1079,/bdata2/sc/dataset/mainnet/0x45a128873401E2630F98B8D7523872382cF75Bc7.sol,SOLIDITY_TX_ORIGIN,2,8,0.8.4,SWC-115
/bdata2/sc/dataset/mainnet/0x1acd5d84aab671d5b142824f7bae3a21f50a4c86.sol,240,/bdata2/sc/dataset/mainnet/0x1acd5d84aab671d5b142824f7bae3a21f50a4c86.sol,SOLIDITY_TX_ORIGIN,2,55,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0x1acd5d84aab671d5b142824f7bae3a21f50a4c86.sol,244,/bdata2/sc/dataset/mainnet/0x1acd5d84aab671d5b142824f7bae3a21f50a4c86.sol,SOLIDITY_TX_ORIGIN,2,51,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0xfcDb7544eCbaA10EDBB99baeBf8A0c86b41f2c9D.sol,1361,/bdata2/sc/dataset/mainnet/0xfcDb7544eCbaA10EDBB99baeBf8A0c86b41f2c9D.sol,SOLIDITY_TX_ORIGIN,2,18,0.8.12,SWC-115
/bdata2/sc/dataset/mainnet/0xfF2E9d04fDD2320ECf4aA1187c23ca3Aef065617.sol,465,/bdata2/sc/dataset/mainnet/0xfF2E9d04fDD2320ECf4aA1187c23ca3Aef065617.sol,SOLIDITY_TX_ORIGIN,2,18,0.8.12,SWC-115
/bdata2/sc/dataset/mainnet/0x78a822fa9c21C7977d0b27EA9dc8fd9f00704B01.sol,465,/bdata2/sc/dataset/mainnet/0x78a822fa9c21C7977d0b27EA9dc8fd9f00704B01.sol,SOLIDITY_TX_ORIGIN,2,18,0.8.12,SWC-115
