address,location,vulnerability,impact,vulnerable_elements_type,vulnerable_elements_name,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xd459852e273ee8bce1ea9fefa1ddc85ca8e169c3.sol,,suicidal,High,,,0.7.5,SWC-106
/bdata2/sc/dataset/mainnet/0xe75df3c68906f6adbe17e87d4e22509fde24c339.sol,,suicidal,High,,,0.4.26,SWC-106
/bdata2/sc/dataset/mainnet/0xe886BDA225fd59a6723A08a6962C54Fc722a785a.sol,,suicidal,High,,,0.8.16,SWC-106
/bdata2/sc/dataset/mainnet/0xbc421722add7ad3cf23e7bbefe709330bbfd6188.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0x2f976a5382c0c6214b3d8fe6bdc5379edd35d9d4.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x0dD1C99aC9BC48A1d482878ECC8B9760Aa1e8De2.sol,,suicidal,High,,,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0xb1a787a25f614f0c643a27877a0e8f7c363c255a.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0x72b1a3833C34D991916d104Cf351eaEc1c2E3F3d.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0x7d8c2089e764c9020452d21d48035a44510dcfd4.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0xa6c8efc52ab20281570c4c809c300454109af946.sol,,suicidal,High,,,0.8.16,SWC-106
/bdata2/sc/dataset/mainnet/0x59004a80a03dc611377866317f50988a9eefc3d7.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x06ccd63315e43f973b45885485eba1ab3681732a.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0x11B46B435423599Bf06F2E45e2e3343756e1317e.sol,,suicidal,High,,,0.6.12,SWC-106
/bdata2/sc/dataset/mainnet/0xa57f878b72a691930a95fc4949dd7e63c4e4729a.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x46993650012282c96Baa0e3623F99a2BB2b6C972.sol,,suicidal,High,,,0.7.4,SWC-106
/bdata2/sc/dataset/mainnet/0x4Ba70c8c32Cfac4967B7a6561758d2F4a6Ac3D3F.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x31FF47d5C0D669C2d31A1658e4e10D9605210289.sol,,suicidal,High,,,0.7.4,SWC-106
/bdata2/sc/dataset/mainnet/0x0033fb5561719b8b697b604466d6d39308c58191.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0xbb1969c4363abfc53bc394b82f7cd4f24e8cf5dc.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0x31fc37ccafa5ce3986eb4ba758300a67a2283294.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x88d4f99341de4afdd94cfb7c1c67c885b79ba6bc.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xa3cd2dd81c0115d801282f1711e9656ae2770566.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x53C57Ab46d88992e26A5fdc3208AaE0b4221BA16.sol,,suicidal,High,,,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0x56ef98199fb28abdccd3b408885ce7168c9fa9fe.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x841e177e2523cb1385723d99cc1920fb28b12eb5.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x212207006e5Ae344481Fa34a6F4960EB0f302Ff5.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0x6aa1990f72c53000aceff1d8934d1ca2802aa1d8.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x29d6cf436c893c7e44ea926411d5fd4dd763d9b3.sol,,suicidal,High,,,v0.4.25,SWC-106
/bdata2/sc/dataset/mainnet/0x4dcd68fbaa08976950a3b447194604c6288510eb.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xdba6f4fe7e8a358150fc861148c3a19b22242743.sol,,suicidal,High,,,v0.4.25,SWC-106
/bdata2/sc/dataset/mainnet/0x9bf79d314da6371a36ede8efd0aad1ce617ff4b1.sol,,suicidal,High,,,v0.4.11,SWC-106
/bdata2/sc/dataset/mainnet/0xff7a1d565ff66406639bd45482e0a7d0a82845df.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x82fb462380e526ff6b3ba09ad5d8dd1907e01330.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0x0c817D0B1378C6e9722ddF7f1DE1C9762E47C66F.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x4933D1A5f77C713aCf8dF48B82595B6b45D67775.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x8c2d1d6259afd282ada6812d040f7173d83873ef.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x86f14ef10cc13e7f618785d6f33f88208a8e6ffa.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0x05B0dc3e21A0098a7ff4604B345A90d34610bcfA.sol,,suicidal,High,,,0.8.4,SWC-106
