address,vulnerability,compiler,SWC_ID,tools
0x2b9609befee6c1b26c1409bae37d76e6d499414a,AccessibleSelfdestruct,8,SWC-106,ethainter
0x07945fa39E58F47EFfFcff62Ca616880d8D2df66,AccessibleSelfdestruct,6,SWC-106,ethainter
0x44C711794c467339EDDDAe787D94703A6B56C7FD,AccessibleSelfdestruct,8,SWC-106,ethainter
0x15E2D852019De0989A82eb518687dDb00B2c2df4,AccessibleSelfdestruct,8,SWC-106,ethainter
0x43c75713Ab458bC4E0B81E2480ED88dc0215891C,AccessibleSelfdestruct,7,SWC-106,ethainter
0x10b7a4485a230d4c5844503ccf4f8adfd4d8870d,AccessibleSelfdestruct,8,SWC-106,ethainter
0x7602ecd2f8ec584c23fc882f1ab572df828445a9,AccessibleSelfdestruct,4,SWC-106,ethainter
0xB42b73e576Fef05b156c6D14EC16aCda3b22AC65,AccessibleSelfdestruct,8,SWC-106,ethainter
0xb97fd8b99d4e1ec87b0d518f6a0283b23ac10e8f,AccessibleSelfdestruct,8,SWC-106,ethainter
0xB1977127Ad3B1bEB4343aF09B1dd9C6d8EE100ea,AccessibleSelfdestruct,7,SWC-106,ethainter
0xEA2C6B373Ea3e596995d2523a74592E22EE49BFF,AccessibleSelfdestruct,7,SWC-106,ethainter
0x22a0a8ebe16cdec6edcc7e55f1787e7aee99fb85,AccessibleSelfdestruct,4,SWC-106,ethainter
0xAbe0080eA5F7A58b90398B1c87093CC225E33fE1,AccessibleSelfdestruct,8,SWC-106,ethainter
0xb0991c05510b34aa5386f1c1d87222a3e66c835f,AccessibleSelfdestruct,4,SWC-106,ethainter
0x105d97ef2e723f1cfb24519bc6ff15a6d091a3f1,AccessibleSelfdestruct,4,SWC-106,ethainter
0xff7a1d565ff66406639bd45482e0a7d0a82845df,AccessibleSelfdestruct,4,SWC-106,ethainter
0x2733fc7f6a5d5be13b1ffbcfcbcba83241e819c6,AccessibleSelfdestruct,4,SWC-106,ethainter
0xa26665a15a6bab711ed0aa9667a338a2230c4ad4,AccessibleSelfdestruct,4,SWC-106,ethainter
0x8ad5b423096548ff65f4fc3c8bca404dea8c66eb,AccessibleSelfdestruct,4,SWC-106,ethainter
0xe1bf5a6123c68A63c5f714dF2898f8Ca7c8854C1,AccessibleSelfdestruct,4,SWC-106,ethainter
0xbb246ee3fa95b88b3b55a796346313738c6e0150,AccessibleSelfdestruct,4,SWC-106,ethainter
0xa0a907b90ffeda1326234d612d0cc2e63402d22b,AccessibleSelfdestruct,8,SWC-106,ethainter
0x51acb1ea45c1ec2512ae4202b9076c13016dc8aa,AccessibleSelfdestruct,8,SWC-106,ethainter
0xd186865848ed869932032d00f54998a7d0581117,AccessibleSelfdestruct,4,SWC-106,ethainter
0xa0fefbecb3f5c36b683d03f280f2294e4b0eb5f4,AccessibleSelfdestruct,4,SWC-106,ethainter
0x8d2AAE6a7EB63Ba89c36e82385f096d41074Cd87,AccessibleSelfdestruct,4,SWC-106,ethainter
0x2101ba900918345003585b0a17de91570609d706,AccessibleSelfdestruct,4,SWC-106,ethainter
0xa9e2f3da8a010abd6d2a98e0ee4af96d91654d0f,AccessibleSelfdestruct,8,SWC-106,ethainter
0x2ca786105163CF5228fE80E77C75D3b081287458,AccessibleSelfdestruct,7,SWC-106,ethainter
0xe7984eaab9316f992d6e01f5b60092f1ac6a8ce6,AccessibleSelfdestruct,8,SWC-106,ethainter
0x93d1e1D71E54DC10177d72494b9448470B8bC5D3,AccessibleSelfdestruct,7,SWC-106,ethainter
0x0cc938417AF3d25BB90D05cA60a9269Aa903fBC7,AccessibleSelfdestruct,7,SWC-106,ethainter
0x8C1b04A1E727517079D2D6d4d1578f533eACB6Ac,AccessibleSelfdestruct,7,SWC-106,ethainter
0x09725F7A3056267AA207143f75402141AE20D284,AccessibleSelfdestruct,7,SWC-106,ethainter
0x7131d915A32e8FfB43D2ea7d2f39318a49D7aDb1,AccessibleSelfdestruct,7,SWC-106,ethainter
0xF7fA8aF7d17D81b3d4E63538a388b56faf526BB6,AccessibleSelfdestruct,7,SWC-106,ethainter
0x1382b4089eF395bdAFBCC7f55aC432847c9dE435,AccessibleSelfdestruct,7,SWC-106,ethainter
0x49dBfE1C07718f27dbB7496340D20f879b6DC368,AccessibleSelfdestruct,7,SWC-106,ethainter
0x0A3238c9F12bd5ee2f9154BFFd3878c5b4078493,AccessibleSelfdestruct,4,SWC-106,ethainter
0xb0e9ef9261df1fb67e73726b550f90298e7931a8,AccessibleSelfdestruct,8,SWC-106,ethainter
0x935233b6def3230b3c315516c35c092f18424762,AccessibleSelfdestruct,6,SWC-106,ethainter
0x9ef27de616154ff8b38893c59522b69c7ba8a81c,AccessibleSelfdestruct,4,SWC-106,ethainter
0x0629056846681D820728653fE0916CB2e80FF4DD,AccessibleSelfdestruct,7,SWC-106,ethainter
0xcd662030bad6e50109fe85ecebd56a8af57cec4d,AccessibleSelfdestruct,8,SWC-106,ethainter
0xA250D449e8246B0be1ecF66E21bB98678448DEF5,AccessibleSelfdestruct,7,SWC-106,ethainter
0xe8540d564bb89ad6bf24e93d67f091ec57a8f230,AccessibleSelfdestruct,8,SWC-106,ethainter
0x3aB9fE3bFAAC384ECD5626543c2c5c68bb4CdfAf,AccessibleSelfdestruct,8,SWC-106,ethainter
0x1f0c0bc268c260d56dbf392a97dfe284fbfcd63d,AccessibleSelfdestruct,8,SWC-106,ethainter
0xd0309b3F8006B25d8ea1214d989A234139a2E25E,AccessibleSelfdestruct,8,SWC-106,ethainter
0xb3cE7c6abF0801de81437cB94C1c8c84eA54346c,AccessibleSelfdestruct,8,SWC-106,ethainter
0xebf8a19a681089bf9ea3c5583afa3479040e739e,AccessibleSelfdestruct,4,SWC-106,ethainter
0xAAD8CD95c75a5Ec3d9E3B9e2F4713A5E7aC5134f,AccessibleSelfdestruct,8,SWC-106,ethainter
0xa66D93DD8DA9b122f2514f4c493EAeEA3921947B,AccessibleSelfdestruct,8,SWC-106,ethainter
0x23789427ECCea5d1ED033D50694Eeb16cF79C4F8,AccessibleSelfdestruct,8,SWC-106,ethainter
0xFd77A1164ceef3CacA33C71439D1eB0ae5eDE51F,AccessibleSelfdestruct,8,SWC-106,ethainter
0xfdc0677daf2012c54444b4a362a9f210c2012537,AccessibleSelfdestruct,8,SWC-106,ethainter
0x940741ad6e3c25df5cd5ec7550b23a889e8ee57a,AccessibleSelfdestruct,4,SWC-106,ethainter
0x4f3afec4e5a3f2a6a1a411def7d7dfe50ee057bf,AccessibleSelfdestruct,4,SWC-106,ethainter
0x64cbf43c40448ac0afe21a3dd3530140d3503d91,AccessibleSelfdestruct,6,SWC-106,ethainter
0x841e177e2523cb1385723d99cc1920fb28b12eb5,AccessibleSelfdestruct,4,SWC-106,ethainter
0x4f896abE9E28C2Db248a8DdAC205ca1cf84A2771,AccessibleSelfdestruct,8,SWC-106,ethainter
0x8c2d1d6259afd282ada6812d040f7173d83873ef,AccessibleSelfdestruct,4,SWC-106,ethainter
0xf1e6b7f94bb0d70d8a19187f684e4270b0a0c989,AccessibleSelfdestruct,4,SWC-106,ethainter
0x633d4a2a8d5f498dfbb8a9f59230f0a9d1446df4,AccessibleSelfdestruct,4,SWC-106,ethainter
0x0033fb5561719b8b697b604466d6d39308c58191,AccessibleSelfdestruct,4,SWC-106,ethainter
0xee3dc775669d2415cad8b5b424e6c97ad60ebef5,AccessibleSelfdestruct,4,SWC-106,ethainter
0x31fc37ccafa5ce3986eb4ba758300a67a2283294,AccessibleSelfdestruct,4,SWC-106,ethainter
0x59004a80a03dc611377866317f50988a9eefc3d7,AccessibleSelfdestruct,4,SWC-106,ethainter
0x4f76463AeBA5111fB4FfCc1722e4dE8Aa7018E36,AccessibleSelfdestruct,8,SWC-106,ethainter
0xe3457797c543AD91bd36023d2EE600305ee89195,AccessibleSelfdestruct,8,SWC-106,ethainter
0x280e3bae59054ad274d1fc30349e819049a87d72,AccessibleSelfdestruct,8,SWC-106,ethainter
0xC026e634d0E837f191F0DefAE549667C01cD86D4,AccessibleSelfdestruct,8,SWC-106,ethainter
0xF0B0ccED14b2d1D47C351F5Bc0B33AA79470997e,AccessibleSelfdestruct,8,SWC-106,ethainter
0x251d2e8ee89afb71a5db48f040a4d0954c71eb69,AccessibleSelfdestruct,8,SWC-106,ethainter
0x7b7f672Cb38783Bee6731c61Ee9F6325AC9ee748,AccessibleSelfdestruct,4,SWC-106,ethainter
0xf05640a099093808785cb80730f0feb7ce9e22e9,AccessibleSelfdestruct,8,SWC-106,ethainter
